"peak_dt","flow","site_no"
1979-10-16,7.2,6309200
1980-04-06,7.6,6309200
1980-04-25,44,6309200
1980-05-05,120,6309200
1980-05-16,79,6309200
1980-05-24,98,6309200
1980-06-21,21,6309200
1980-07-01,13,6309200
1980-07-18,8,6309200
1980-08-16,11,6309200
1980-08-31,7.2,6309200
1981-04-12,15,6309200
1981-04-25,156,6309200
1981-05-11,44,6309200
1981-05-23,254,6309200
1981-06-09,41,6309200
1981-07-17,19,6309200
1981-07-27,28,6309200
1981-08-09,8,6309200
1981-09-06,7.6,6309200
1982-02-21,7.7,6309200
1982-04-15,18,6309200
1982-05-04,163,6309200
1982-05-19,182,6309200
1982-05-27,118,6309200
1982-06-08,66,6309200
1982-06-18,82,6309200
1982-06-30,90,6309200
1982-07-09,38,6309200
1982-07-27,19,6309200
1982-08-09,17,6309200
1982-08-22,8.3,6309200
1982-09-17,17,6309200
1982-09-28,19,6309200
1982-10-15,18,6309200
1982-10-24,18,6309200
1982-11-08,19,6309200
1982-11-19,15,6309200
1982-11-28,13,6309200
1982-12-06,11,6309200
1982-12-29,8.7,6309200
1983-01-17,8,6309200
1983-02-07,7.6,6309200
1983-02-18,7.2,6309200
1983-03-04,8.5,6309200
1983-03-13,12,6309200
1983-04-01,9.3,6309200
1983-04-10,9.3,6309200
1983-04-25,101,6309200
1983-05-09,171,6309200
1983-05-18,83,6309200
1983-05-28,603,6309200
1983-06-13,230,6309200
1983-07-23,23,6309200
1983-08-04,22,6309200
1983-08-17,13,6309200
1983-08-30,9.1,6309200
1983-09-09,9.1,6309200
1983-09-21,9.5,6309200
1983-10-03,9.8,6309200
1983-10-16,9.5,6309200
1983-10-24,11,6309200
1983-11-11,8,6309200
1983-11-30,7.1,6309200
1983-12-13,7.4,6309200
1984-03-24,7.1,6309200
1984-04-09,7.7,6309200
1984-04-20,22,6309200
1984-05-02,15,6309200
1984-05-24,701,6309200
1984-06-03,276,6309200
1984-06-11,179,6309200
1984-06-30,52,6309200
1984-07-10,36,6309200
1984-07-23,26,6309200
1984-08-02,18,6309200
1984-08-15,11,6309200
1984-09-09,8.7,6309200
1984-09-26,9.4,6309200
1984-10-18,7.96,6309200
1984-11-03,7.67,6309200
1984-11-14,7.6,6309200
1984-11-24,7.43,6309200
1985-03-25,7.1,6309200
1985-04-03,12,6309200
1985-04-19,70.9,6309200
1985-05-04,170,6309200
1985-05-17,88.5,6309200
1985-06-02,40.7,6309200
